pool_name,pool_address,pool_data,total_liquidity
LINK/RETRO (1%),0x7761c7233924C3D72F27Fae6a81B074C0152e03a,"[((b'\x0f\x12\xb1\x15\xd0\x9e\xd3\xbcI\xe2\xea\xb3-.\xf2\xb7S~\xe5l\x1a\xb6\xf2\x87\xaf\x13`\xe35v\xf4E', '0x7761c7233924C3D72F27Fae6a81B074C0152e03a', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 6078470294809768147272, [], [], 6000, 0, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39', 18, 'LINK', 1985851560971570047606), ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 74966690454991023411140), 'oRETRO', 18)]",21066.89
RETRO/agEUR (1%),0x15949526fF03fE6ab5f49dA6a86749c20141b3f1,"[((b""H\x1b6~\xb7\x1a\no(^)},\x86&{\xb8\x05\xf9\xe1\x98\xd7K\x0cZ\xd1\xfaT'\x04f*"", '0x15949526fF03fE6ab5f49dA6a86749c20141b3f1', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 6667005783669505868176, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 80369649110719200415819), ('0xE0B52e49357Fd4DAf2c15e02058DCE6BC0057db4', 18, 'agEUR', 15787671432572775180968), 'oRETRO', 18)]",23448.28
USDC/USDT (0.01%),0x772510189425ac63f9a5A5eF2fd0C7FDA58CBFC7,"[((b'\xaf\xcc\x85\x8av*\x85\xa7L\xc2d@\x897\x8d\xca\n\rE\xd5\xa3\x95\xb2\xa4\x9f\x11\x18?]\x9b~\xd5', '0x772510189425ac63f9a5A5eF2fd0C7FDA58CBFC7', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 354620294650868596894, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 100, ('0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 6, 'USDC', 45933151440), ('0xc2132D05D31c914a87C6611C10748AEb04B58e8F', 6, 'USDT', 27682051636), 'oRETRO', 18)]",73609.5
WMATIC/MaticX (0.01%),0x9aa18301055091e9da7C57b81633632Fa33B9a80,"[((b""\x9f\xc9\xf0Ed\x0e\x1e1\xe4\xf2\xe5[9Q\xc0\xb4'\xe1\xd6\x93\x13Kf\x0b\xe7\x95\x92f\x97\xc3Y\x00"", '0x9aa18301055091e9da7C57b81633632Fa33B9a80', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 10248622803796701722075, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 100, ('0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270', 18, 'WMATIC', 942931392942920326085089), ('0xfa68FB4628DFF1028CFEc22b4162FCcd0d45efb6', 18, 'MaticX', 258543600284860096644304), 'oRETRO', 18)]",636767.58
wstETH/WETH (0.01%),0xa9439Db1D7025Ce4aAc513Baf5eee5220172126C,"[((b'\xfa\xb2\xf6\xd7\xfe\xfa\x9e\n""~\x0cn`\xbe\xba\xaaC\x9b\xfd.bI\xd9\xe8\x01W\x87\'\xcf\xc1\xcd\xcd', '0xa9439Db1D7025Ce4aAc513Baf5eee5220172126C', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 1243785215184205897170, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 100, ('0x03b54A6e9a984069379fae1a4fC4dBAE93B3bCCD', 18, 'wstETH', 30912599697765123614), ('0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619', 18, 'WETH', 50883990719951055572), 'oRETRO', 18)]",136912.66
WMATIC/stMATIC (0.01%),0x2d623c33673248E95C7a1C26aE7065eb7A7Ac0Ea,"[((b'\x18\x8dO\xd7\x01\x96\xdc\xde\xd4\x98z\xb4rg\x0e\xddd\r\x1e\x99\xcc*\x05\x01\x15\xaa\xdc#jS\xf01', '0x2d623c33673248E95C7a1C26aE7065eb7A7Ac0Ea', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 116194659397291297575, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 100, ('0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270', 18, 'WMATIC', 131683353297843904069581), ('0x3A58a54C066FdC0f2D55FC9C89F0415C92eBf3C4', 18, 'stMATIC', 56615048326873052668211), 'oRETRO', 18)]",100644.82
WETH/frxETH (0.01%),0xe5069a75Bdfe8F676B778B0aaDCcC597841F819B,"[((b'\xfe\xec~t\x81\xda\xe5\xb0n\xb9=\xe3c\xfc\xa1\x18\xb61\xc9\xde\x9er\xbd\x84\xd5\xdb\x82\x99\x11c,\xac', '0xe5069a75Bdfe8F676B778B0aaDCcC597841F819B', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 8336489126511972364420, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 100, ('0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619', 18, 'WETH', 110659454376163786632), ('0xEe327F889d5947c1dc1934Bb208a1E792F953E96', 18, 'frxETH', 53158464683432499293), 'oRETRO', 18)]",260229.0
FRAX/frxETH (0.05%),0x38df0c93bf69a9EfB3d3647fF459eF27235A8968,"[((b'\xcf\xc3\xce\x06bd\xe0\x96;\xe5\x18\x93,\xfd\xd7\x14{b\xbb\xb7\x9f8u\xf3\x01\x7f\xbf\x0c*iDF', '0x38df0c93bf69a9EfB3d3647fF459eF27235A8968', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 4936053938287991417155, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x45c32fA6DF82ead1e2EF74d17b76547EDdFaFF89', 18, 'FRAX', 8153394555830650946765), ('0xEe327F889d5947c1dc1934Bb208a1E792F953E96', 18, 'frxETH', 16889694245411469394), 'oRETRO', 18)]",34915.21
WMATIC/frxETH (0.05%),0x44AAE81BE8435b6998A66d9642f66DE57DD03FC2,"[((b""l1]\x002~!'#\xe3rI\xcf\x16\xa6\xf9\xd6\xadp\xc5\xdc?X\\'\xbe_\x84j&WO"", '0x44AAE81BE8435b6998A66d9642f66DE57DD03FC2', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 5594042763614166540446, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270', 18, 'WMATIC', 52299251853795050787302), ('0xEe327F889d5947c1dc1934Bb208a1E792F953E96', 18, 'frxETH', 15303438466017671660), 'oRETRO', 18)]",51525.11
xbb-t-USD/CASH (0.01%),0x07dBf448cCC68cA64247da04F2E24643eCf57385,"[((b'\xeaW\xe0\x84+\x91I\xd5a}X\x93\xd3\xc6\xb5ZW\x04\x94\xde>\x89\xce\x88z#\xe6\x0c/\xba\xc1\xa9', '0x07dBf448cCC68cA64247da04F2E24643eCf57385', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 46120496419880464458, [], [], 3000, 3000, 4000, 1695254400, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 100, ('0x4028cba3965e8Aea7320e9eA50914861A14dc724', 18, 'xbb-t-USD', 97484844839621456099), ('0x5D066D022EDE10eFa2717eD3D79f22F949F8C175', 18, 'CASH', 207015157065556410971), 'oRETRO', 18)]",206.73
