Epoch,Emissions,LP,Rebase,Team
177,75019.09,50637.89,22505.73,1875.48
178,73518.71,49625.13,22055.61,1837.97
179,72048.33,48632.63,21614.50,1801.21
180,70607.37,47659.97,21182.21,1765.18
181,69195.22,46706.77,20758.57,1729.88
182,67811.32,45772.64,20343.39,1695.28
183,66455.09,44857.18,19936.53,1661.38
184,65125.99,43960.04,19537.80,1628.15
185,63823.47,43080.84,19147.04,1595.59
186,62547.00,42219.22,18764.10,1563.67
187,61296.06,41374.84,18388.82,1532.40
188,60070.14,40547.34,18021.04,1501.75
189,58868.73,39736.40,17660.62,1471.72
190,57691.36,38941.67,17307.41,1442.28
191,56537.53,38162.83,16961.26,1413.44
192,55406.78,37399.58,16622.03,1385.17
193,54298.65,36651.59,16289.59,1357.47
194,53212.67,35918.55,15963.80,1330.32
195,52148.42,35200.18,15644.53,1303.71
196,51105.45,34496.18,15331.64,1277.64
197,50083.34,33806.26,15025.00,1252.08
198,49081.68,33130.13,14724.50,1227.04
199,48100.04,32467.53,14430.01,1202.50
200,47138.04,31818.18,14141.41,1178.45
